,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
2885,"Fundrise Investments 8, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2015-03-04,New Filing
2886,"Dirty Goose LP  (Restaurants - Washington, DC)",Yes,Yet to Sell,$0,2015-03-04,New Filing
2887,"CJP CO-INVESTMENT II B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$70,237,737",$0,2015-03-04,Amended
2888,"CETP II CO-INVESTMENT, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$43,791,375",$0,2015-03-04,Amended
2889,"CARLYLE ASIA REAL ESTATE COINVESTMENT II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$53,924,000",$0,2015-03-04,Amended
2890,"CAP III CO-INVESTMENT, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$153,758,112","$1,275,000",2015-03-04,Amended
2891,"WINSTON GROWTH FUND LIMITED PARTNERSHIP  (Pooled Investment Fund - Arlington, VA)",No,"$571,888,149",$0,2015-03-04,Amended
2892,"CGFSP COINVESTMENT L.P.  (Pooled Investment Fund - Washington, DC)",No,"$98,649,932","$650,000",2015-03-04,Amended
2893,"WINSTON GLOBAL FUND LP  (Pooled Investment Fund - Arlington, VA)",No,"$634,456,639","$63,512,428",2015-03-04,Amended
2894,"Carlyle U.S. Equity Opportunity Fund II, L.P.  (Pooled Investment Fund - District Of Columbia, WA)",Yes,Yet to Sell,$0,2015-03-04,New Filing
2895,"GEF Latin America Fund, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$50,000,000","$50,000,000",2015-03-04,New Filing
2896,"Rock Creek - Fund II LLC  (Investing - Washington, DC)",Yes,"$1,600,000","$1,600,000",2015-03-04,New Filing
2897,"Outl!t Infomarket LLC  (Other Technology - Arlington, VA)",Yes,Yet to Sell,$0,2015-03-03,New Filing
2898,"CMP II (CAYMAN) CO-INVEST, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$35,709,700",$0,2015-03-03,Amended
2899,"CMP II COINVESTMENT, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$35,709,700",$0,2015-03-03,Amended
2900,"CP V COINVESTMENT B CAYMAN, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$111,799,465","$150,000",2015-03-03,Amended
2901,"CP V COINVESTMENT B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$111,799,465","$150,000",2015-03-03,Amended
2902,"Tax Equity Advisors, LLC  (Other - Washington, DC)",Yes,"$3,000,000","$3,000,000",2015-03-03,New Filing
2903,"PlanetRisk, Inc.  (Other Technology - Mclean, VA)",Yes,"$1,500,023","$1,500,023",2015-03-03,New Filing
2904,"CEREP CO-INVESTMENT III, L.L.C.  (Pooled Investment Fund - Washington, DC)",No,"$96,356,989",$0,2015-03-02,Amended
2905,"CEP III INVESTMENT HOLDINGS, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$261,217,142",$0,2015-03-02,Amended
2906,"CP V COINVESTMENT A CAYMAN, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$686,174,954","$8,250,000",2015-03-02,Amended
2907,"CP V COINVESTMENT A, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$686,174,954","$8,250,000",2015-03-02,Amended
2908,"NUSSBAR LLC  (Restaurants - Washington, DC)",Yes,"$300,000","$300,000",2015-03-02,New Filing
2909,"GS Euclid Class A, LLC  (Commercial - Bethesda, MD)",Yes,"$3,100,000","$3,100,000",2015-02-27,New Filing
2910,"Skai, Inc.  (Telecommunications - Arlington, VA)",Yes,"$126,262","$126,262",2015-02-27,New Filing
2911,"S Squared Capital Partners LP  (Pooled Investment Fund - Reston, VA)",No,"$6,745,000",$0,2015-02-27,Amended
2912,"Syncurity Corp  (Other Technology - Bethesda, VA)",No,"$100,000",$0,2015-02-26,Amended
2913,"Syncurity Corp  (Other Technology - Bethesda, VA)",Yes,"$100,000","$100,000",2015-02-26,New Filing
2914,"SoapBox Soaps LLC  (Retailing - Washington, VA)",Yes,"$1,145,000","$1,145,000",2015-02-26,New Filing
2915,"Rsignia, Inc.  (Other Technology - Rockville, MD)",Yes,"$5,300","$5,300",2015-02-26,New Filing
2916,"ScienceLogic, Inc.  (Computers - Reston, VA)",Yes,"$43,000,000","$43,000,000",2015-02-25,New Filing
2917,"Lynx Real Asset & Water Fund LLC  (Pooled Investment Fund - Washington, DC)",No,"$14,324,421","$2,905,435",2015-02-25,Amended
2918,"KitBar Enterprises, LLC  (Restaurants - Vienna, VA)",Yes,"$1,000,000","$1,000,000",2015-02-24,New Filing
2919,"Advantia Holdings LLC  (Hospitals and Physicians - Arlington, DC)",Yes,"$1,626,024","$1,626,024",2015-02-24,New Filing
2920,"KiwiTech LLC  (Other Technology - Washington, DC)",Yes,"$575,000","$575,000",2015-02-24,New Filing
2921,"USGP I REIT Holdings, LP  (Pooled Investment Fund - Washington, DC)",Yes,"$17,750,000","$17,750,000",2015-02-24,New Filing
2922,"Choral Financial Fund, LP  (Pooled Investment Fund - Alexandria, VA)",No,"$12,496,674","$3,264,999",2015-02-23,Amended
2923,"OPGEN INC  (Biotechnology - Gaithersburg, MD)",Yes,"$1,243,999","$1,243,999",2015-02-23,New Filing
2924,"Adventurati, Inc.  (Other Technology - Washington, DC)",Yes,"$408,000","$408,000",2015-02-23,New Filing
2925,"Danish Designs, L.L.C.  (Other - Washington, DC)",Yes,"$50,000","$50,000",2015-02-23,New Filing
2926,"Carlyle Power Partners II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$365,698,000",$0,2015-02-23,Amended
2927,"Racktop Systems, Inc.  (Computers - Fulton, MD)",Yes,"$750,000","$750,000",2015-02-20,New Filing
2928,"Katalyst Capital Fund, LLC  (Residential - Bowie, MD)",Yes,Yet to Sell,$0,2015-02-20,New Filing
2929,"Carlyle Power Partners II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$365,698,000","$365,698,000",2015-02-20,Amended
2930,"Tyche Consulting, LLC  (Computers - Rockville, MD)",Yes,Yet to Sell,$0,2015-02-20,New Filing
2931,"NaviMed Partners, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$50,200,000","$9,500,000",2015-02-18,Amended
2932,"NaviMed Partners Executive Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$4,100,000",$0,2015-02-18,Amended
2933,"Carlyle Private Equity Access Fund 2014, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$37,650,000","$37,650,000",2015-02-18,Amended
2934,"Carlyle Private Equity Access Blocker Fund 2014, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,500,000","$1,500,000",2015-02-18,Amended
2935,"StreetShares, Inc.  (Other Banking and Financial Services - Reston, VA)",Yes,"$375,000","$375,000",2015-02-18,New Filing
2936,"VITAL NOVATRACT INVESTORS, LLC  (Other - Bethesda, MD)",Yes,"$105,400","$105,400",2015-02-17,New Filing
2937,"LOOP88, INC.  (Other Technology - Arlington, VA)",Yes,"$200,000","$200,000",2015-02-17,New Filing
2938,"New Paradigm Fund, L.P.  (Pooled Investment Fund - Great Falls, VA)",No,"$44,001,590","$160,000",2015-02-13,Amended
2939,"GEF Africa Growth Fund Ltd  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$37,000,000","$37,000,000",2015-02-13,New Filing
2940,"Ategra Community Financial Institution Fund, LP  (Pooled Investment Fund - Vienna, VA)",No,"$24,397,810","$1,684,465",2015-02-13,Amended
2941,"NexImmune, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$1,962,000","$1,962,000",2015-02-13,New Filing
2942,"Kiswe Mobile Inc.  (Other - Bethesda, MD)",Yes,"$4,500,000","$4,500,000",2015-02-12,New Filing
2943,"Kiswe Mobile Inc.  (Other - Bethesda, MD)",Yes,"$2,000,000","$2,000,000",2015-02-12,New Filing
2944,"Kiswe Mobile Inc.  (Other - Bethesda, MD)",Yes,"$1,500,000","$1,500,000",2015-02-12,New Filing
2945,"810 SEVENTH AVENUE MEMBER LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-02-12,New Filing
2946,"Message Systems, Inc.  (Other Technology - Columbia, MD)",Yes,"$3,000,000","$3,000,000",2015-02-12,New Filing
2947,"Message Systems, Inc.  (Other Technology - Columbia, MD)",Yes,"$10,500,000","$10,500,000",2015-02-12,New Filing
2948,"Message Systems, Inc.  (Other Technology - Columbia, MD)",Yes,"$25,000,000","$25,000,000",2015-02-12,New Filing
2949,"Gryphn Corp  (Other Technology - Mclean, VA)",Yes,"$1,934,171","$1,934,171",2015-02-12,New Filing
2950,"Directive Systems Inc  (Other Technology - Cheverly, MD)",Yes,"$50,000","$50,000",2015-02-12,New Filing
2951,"Greensmith Energy Management Systems, Inc.  (Other Energy - Herndon, MD)",Yes,"$1,000,000","$1,000,000",2015-02-11,New Filing
2952,"RevSite.com, Inc.  (Other Technology - Arlington, VA)",Yes,"$1,000,005","$1,000,005",2015-02-11,New Filing
2953,"CEMOF II Offshore Investors, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2015-02-11,New Filing
2954,"Carlyle Energy Mezzanine Opportunities Fund II-A, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2015-02-11,New Filing
2955,"Carlyle Energy Mezzanine Opportunities Fund II, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2015-02-11,New Filing
2956,"Velocity Technologies LLC  (Other - Mclean, VA)",Yes,"$109,877","$109,877",2015-02-11,New Filing
2957,"ThreatQuotient, Inc.  (Other Technology - Reston, VA)",Yes,"$500,002","$500,002",2015-02-10,New Filing
2958,"Texas Emerging Managers Hedge Fund Program, L.P.  (Pooled Investment Fund - Washington, D.C., DC)",No,"$160,000,000","$60,000,000",2015-02-10,Amended
2959,"Avizia, Inc.  (Other Technology - Reston, VA)",Yes,"$3,100,000","$3,100,000",2015-02-10,New Filing
2960,"SEMACONNECT, INC.  (Other Technology - Bowie, MD)",Yes,"$15,900,000","$15,900,000",2015-02-10,New Filing
2961,"Terroir, LLC  (Restaurants - Alexandria, VA)",Yes,Yet to Sell,$0,2015-02-10,New Filing
2962,"UrbanStems, Inc.  (Other - Washington, DC)",Yes,"$1,460,000","$1,460,000",2015-02-10,New Filing
2963,"Washington Center REIT, LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-02-09,New Filing
2964,"ACM Emerging Markets Fund I, LP  (Pooled Investment Fund - Washington, DC)",No,"$537,000,000",$0,2015-02-06,Amended
2965,"Orchestro, Inc  (Other - Mclean, VA)",Yes,"$6,780,639","$6,780,639",2015-02-06,New Filing
2966,"Delight Me, Inc.  (Other - Washington, DC)",No,"$392,317","$338,330",2015-02-05,Amended
2967,"FiscalNote, Inc.  (Other Technology - Washington, DC)",Yes,"$9,639,559","$9,639,559",2015-02-05,New Filing
2968,"Bristol Muirkirk, LLC  (Commercial - Bethesda, MD)",Yes,Yet to Sell,$0,2015-02-05,New Filing
2969,"Lock 7 Development LLC  (Other Real Estate - Washington, DC)",Yes,"$310,000","$310,000",2015-02-04,New Filing
2970,"TMG 801 Eye Street REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2015-02-03,New Filing
2971,"TMG 800 K Street REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2015-02-03,New Filing
2972,"Dean Ventures II Holdings, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$132,995,827","$1,146,481",2015-02-02,Amended
2973,"Cambridge Social Science Decision Lab Inc.  (Other Technology - Washington, DC)",Yes,"$2,000,000","$2,000,000",2015-02-02,New Filing
2974,"JBG/Foundry Office REIT, L.L.C.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2015-02-02,New Filing
2975,"Flour Mill Fund, Ltd.  (Pooled Investment Fund - Washington, DC)",No,"$20,000,000",$0,2015-01-30,Amended
2976,"Compass Point Financials Fund, LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$5,500,000","$5,500,000",2015-01-30,New Filing
2977,"Full Measure Education, Inc.  (Other - Washington, X1)",Yes,"$5,515,462","$5,515,462",2015-01-30,New Filing
2978,"MAPS Washington DC One LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-01-30,New Filing
2979,"Juggernaut Capital Partners III, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,Yet to Sell,$0,2015-01-30,New Filing
2980,"Raspberry Golf Investors, L.L.C.  (Other - Fairfax, VA)",Yes,"$3,250,000","$3,250,000",2015-01-29,New Filing
2981,"Radius Networks, Inc.  (Other Technology - Washington, DC)",Yes,"$6,471,200","$6,471,200",2015-01-29,New Filing
2982,"Araxid Prime, Inc.  (Other Technology - Mclean, VA)",Yes,"$12,500,000","$12,500,000",2015-01-27,New Filing
2983,"Fundrise 3 World Trade Center LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2015-01-26,New Filing
2984,"CEP IV Dollar Feeder, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$320,645,140","$122,432,625",2015-01-23,Amended
2985,"Carlyle Europe Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,710,468,104","$474,117,038",2015-01-23,Amended
2986,"REGENXBIO Inc.  (Biotechnology - Rockville, DC)",Yes,"$27,500,002","$27,500,002",2015-01-23,New Filing
2987,"BTCS Inc.  (Other - Silver Spring, VA)",Yes,"$433,000","$433,000",2015-01-23,New Filing
2988,"ADVISORY BOARD CO  (Business Services - Washington Dc, DC)",Yes,"$121,223,931","$121,223,931",2015-01-23,New Filing
2989,"GRAVATATE, INC,  (Other Technology - Reston, VA)",No,"$65,000","$65,000",2015-01-23,Amended
2990,"Wharf Horizontal REIT LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-01-22,New Filing
2991,"R5 Holdings, LLC  (Other - Mclean, VA)",Yes,"$200,000","$200,000",2015-01-22,New Filing
2992,"Digital Mobile Innovations, LLC  (Other Technology - Bethesda, MD)",No,"$2,950,000",$0,2015-01-22,Amended
2993,"RAMSEY LONG-BIASED FUND, LP  (Pooled Investment Fund - Reston, VA)",No,"$74,003,658","$7,203,234",2015-01-21,Amended
2994,"Destination Unknown, Inc.  (Restaurants - Washington, DC)",Yes,Yet to Sell,$0,2015-01-21,New Filing
2995,"Black Marble ZD REIT 2014 Inc.  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-01-20,New Filing
2996,"STEAM Engine, Inc.  (Other Technology - Washington, Dc, DC)",Yes,"$7,999,999","$7,999,999",2015-01-16,New Filing
2997,"STEAM Engine, Inc.  (Other Technology - Washington, Dc, DC)",Yes,"$7,999,999","$7,999,999",2015-01-16,New Filing
2998,"THERANOSTICS HEALTH, INC.  (Biotechnology - Rockville, MD)",Yes,"$300,000","$300,000",2015-01-16,New Filing
2999,"Endgame, Inc.  (Other Technology - Arlington, VA)",No,"$29,664,232","$3,389,232",2015-01-15,Amended
3000,"Express Homebuyers Value Fund I, LLC  (Residential - Springfield, VA)",Yes,Yet to Sell,$0,2015-01-15,New Filing
3001,"Rigquipment Finance, LLC  (Other - Arlington, VA)",Yes,"$550,000","$550,000",2015-01-15,New Filing
3002,"Telepath Data, Inc.  (Business Services - Arlington, VA)",Yes,"$206,000","$206,000",2015-01-14,New Filing
3003,"Kit Check, Inc.  (Other Technology - Washington, DC)",No,"$12,000,005",$0,2015-01-14,Amended
3004,"Good World, Inc.  (Other Technology - Washington, Dc, DC)",Yes,"$494,000","$494,000",2015-01-14,New Filing
3005,"Kit Check, Inc.  (Other Technology - Washington, DC)",Yes,"$12,000,005","$12,000,005",2015-01-13,New Filing
3006,"NS Tall Oaks LLC  (Other Real Estate - Great Falls, VA)",Yes,"$6,025,000","$6,025,000",2015-01-13,New Filing
3007,"MDR Precision Fund, LP  (Pooled Investment Fund - Bethesda, DC)",No,"$3,232,127","$237,192",2015-01-13,Amended
3008,"Assure Holding Corp  (Insurance - Vienna, VA)",Yes,"$7,500,000","$7,500,000",2015-01-12,New Filing
3009,"Carlyle Private Equity Access Blocker Fund 2014, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2015-01-09,New Filing
3010,"RB Nova MF Management LLC  (Other Real Estate - Washington Dc, DC)",Yes,"$5,000,000","$5,000,000",2015-01-08,New Filing
3011,"WashingtonFirst Bankshares, Inc.  (Commercial Banking - Reston, VA)",Yes,"$20,658,285","$20,658,285",2015-01-08,New Filing
3012,"Dexter Winston TE Fund LLC  (Pooled Investment Fund - Arlington, VA)",No,"$76,156,625",$0,2015-01-08,Amended
3013,"Dexter Winston Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$23,374,962","$2,135,735",2015-01-08,Amended
3014,"Artis Senior Living Boca Raton Fund, LLC  (Other Real Estate - Mclean, VA)",Yes,"$1,000,000","$1,000,000",2015-01-08,New Filing
3015,"Veenome, Inc.  (Other Technology - Arlington, VA)",Yes,"$389,970","$389,970",2015-01-07,New Filing
3016,"ACON Igloo Holdings, LLC  (Retailing - Washington, DC)",Yes,"$77,537,500","$77,537,500",2015-01-06,New Filing
3017,"Artemis Fund II REIT, Inc.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2015-01-06,New Filing
3018,"IntroHive, Inc.  (Other - Sterling, VA)",Yes,"$6,732,966","$6,732,966",2015-01-05,New Filing
3019,"CSH Program REIT III Inc.  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-01-05,New Filing
3020,"Ultraviolet Interventions Inc.  (Other Technology - Gaithersburg, MD)",Yes,"$4,322","$4,322",2015-01-05,New Filing
3021,"Ultraviolet Interventions Inc.  (Other Technology - Gaithersburg, MD)",Yes,$779,$779,2015-01-05,New Filing
3022,"MPH-1 The Edge Corp.  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2015-01-02,New Filing
3023,"RTO Energy Trading Holdings, LLC  (Other Energy - Vienna, VA)",Yes,"$3,966,292","$3,966,292",2015-01-02,New Filing
3024,"Dean Ventures 20, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$74,399,270","$269,270",2015-01-02,Amended
3025,"Dean Ventures Holdings, LLC  (Investing - Vienna, VA)",No,"$505,343,553",$0,2015-01-02,Amended
3026,"Dean Ventures Holdings, LLC  (Investing - Vienna, VA)",No,"$505,343,553","$19,215,314",2015-01-02,Amended
3027,"Rio Holding Co LLC  (Other - Washington, DC)",Yes,"$24,050,000","$24,050,000",2015-01-02,New Filing
3028,"Tangible Software, Inc.  (Other Technology - Mclean, VA)",Yes,"$6,000,000","$6,000,000",2015-01-02,New Filing
3029,"Babel Street, Inc.  (Other Technology - Reston, VA)",Yes,"$925,000","$925,000",2014-12-31,New Filing
3030,"Lone Star Residential Mortgage Fund I Holdings (Bermuda), L.P.  (Pooled Investment Fund - Hamilton, D0)",Yes,"$1,335,000,000","$1,335,000,000",2014-12-31,New Filing
3031,"Grey Owl Partners, L.P.  (Pooled Investment Fund - Falls Church, VA)",No,"$16,278,684","$3,941,439",2014-12-31,Amended
3032,"ACON Igloo Investors I, LLC  (Retailing - Washington, DC)",No,"$192,537,500","$107,943,500",2014-12-31,Amended
3033,"Computech, Inc.  (Other Technology - Bethesda, MD)",Yes,Yet to Sell,$0,2014-12-30,New Filing
3034,"BSV Spotswood Investors LLC  (Commercial - Bethesda, MD)",Yes,"$350,000","$350,000",2014-12-30,New Filing
3035,"Potomac Health Solutions, Inc.  (Other Health Care - Reston, VA)",Yes,"$10,000","$10,000",2014-12-30,New Filing
3036,"BSV Spotswood Investors LLC  (Commercial - Bethesda, MD)",Yes,"$3,235,000","$3,235,000",2014-12-30,New Filing
3037,"Potomac Health Solutions, Inc.  (Other Health Care - Reston, VA)",No,"$71,600","$31,600",2014-12-29,Amended
3038,"Vital Financial 10X Technologies Investors LLC  (Other - Bethesda, MD)",Yes,"$2,140,429","$2,140,429",2014-12-24,New Filing
3039,"Wild Oak Financial, LLC  (Other Banking and Financial Services - Fairfax, VA)",Yes,"$585,000","$585,000",2014-12-24,New Filing
3040,"EIG-Keats Energy Partners, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2014-12-24,New Filing
3041,"Simple Entry, LLC  (Other - Washington, DC)",Yes,"$1,185,000","$1,185,000",2014-12-23,New Filing
3042,"Vision III Imaging, Inc.  (Other Technology - Reston, VA)",No,$0,$0,2014-12-23,Amended
3043,"ACM Strategic Investment Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2014-12-23,New Filing
3044,"Elaine's One, LLC  (Restaurants - Washington, DC)",Yes,"$675,000","$675,000",2014-12-23,New Filing
3045,"TopBox, LLC  (Other Technology - Potomac, MD)",Yes,"$910,000","$910,000",2014-12-23,New Filing
3046,"Venture Global LNG, Inc.  (Oil and Gas - Arlington, DC)",Yes,"$30,526,000","$30,526,000",2014-12-23,New Filing
3047,"FLAT WORLD KNOWLEDGE INC  (Other Technology - Washington, DC)",Yes,"$4,645,000","$4,645,000",2014-12-23,New Filing
3048,"3CLogic, Inc.  (Other Technology - Rockville, MD)",Yes,"$2,222,190","$2,222,190",2014-12-23,New Filing
3049,"Vital Spikes Investors LLC  (Other - Bethesda, MD)",Yes,"$564,000","$564,000",2014-12-23,New Filing
3050,"Worch Capital Partners LP  (Pooled Investment Fund - Rockville, MD)",No,"$8,331,034","$3,331,034",2014-12-22,Amended
3051,"Vistronix Intelligence & Technology Solutions, LLC  (Other Technology - Reston, VA)",Yes,"$38,800,000","$38,800,000",2014-12-19,New Filing
3052,"CANVAS SOLUTIONS INC  (Other Technology - Reston, VA)",Yes,"$9,011,576","$9,011,576",2014-12-19,New Filing
3053,"Matchbox Food Group, LLC  (Restaurants - Washington D.C., DC)",Yes,"$550,000","$550,000",2014-12-19,New Filing
3054,"Current Yield with Participation Fund II, LLC  (Pooled Investment Fund - Potomac, MD)",Yes,"$4,450,000","$4,450,000",2014-12-19,New Filing
3055,"Fundrise Investments 16, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2014-12-19,New Filing
3056,"Fundrise Investments 17, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2014-12-19,New Filing
3057,"LKC TECHNOLOGIES, INC.  (Other Health Care - Gaithersburg, MD)",Yes,"$2,165,587","$2,165,587",2014-12-18,New Filing
3058,"Fundrise Investments 15, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2014-12-18,New Filing
3059,"Formula XO, Inc.  (Other - Sterling, VA)",Yes,"$320,000","$320,000",2014-12-18,New Filing
3060,"SQM Frontier Middle East Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$114,873,080","$41,896,885",2014-12-18,Amended
3061,"Updata Partners V, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2014-12-17,New Filing
3062,"Zippy Shell Storage Operations, LLC  (Other - Washington, D.C., DC)",Yes,"$367,495","$367,495",2014-12-16,New Filing
3063,"MAXCYTE, INC.  (Biotechnology - Gaithersburg, MD)",Yes,"$1,700,000","$1,700,000",2014-12-16,New Filing
3064,"CEP IV Feeder, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2014-12-16,New Filing
3065,"SynerGene Therapeutics, Inc.  (Biotechnology - Potomac, MD)",Yes,"$6,368,989","$6,368,989",2014-12-16,New Filing
3066,"MorganFranklin Consulting, LLC  (Other - Mclean, VA)",Yes,"$449,250","$449,250",2014-12-16,New Filing
3067,"iSnak Corp  (Manufacturing - Century City, MD)",Yes,"$250,000","$250,000",2014-12-16,New Filing
3068,"EB5 Capital - Jobs Fund 12 LP  (Commercial - Bethesda, MD)",Yes,Yet to Sell,$0,2014-12-16,New Filing
3069,"Get It, LLC  (Other - Alexandria, VA)",No,"$360,000",$0,2014-12-15,Amended
3070,"H Street NE Owner LLC  (REITS and Finance - Arlington, VA)",Yes,Yet to Sell,$0,2014-12-12,New Filing
3071,"BCM Partners Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$51,730,320","$9,680,588",2014-12-12,Amended
3072,"MEPT Edgemoor LP  (Pooled Investment Fund - Bethesda, MD)",No,"$33,060,000","$27,960,000",2014-12-12,Amended
3073,"Tiffin Ave 2023 LLC  (Pooled Investment Fund - Arlington, VA)",Yes,"$1,517,541","$1,517,541",2014-12-11,New Filing
3074,"Wealthminder, Inc.  (Other Technology - Reston, VA)",Yes,"$255,529","$255,529",2014-12-11,New Filing
3075,"TrackMaven, Inc.  (Other Technology - Washington, DC)",Yes,"$7,405,412","$7,405,412",2014-12-11,New Filing
3076,"GiftedHire, Inc.  (Other - Washington, DC)",Yes,"$249,998","$249,998",2014-12-11,New Filing
3077,"Bay Bridge TMT Value Fund, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$29,971,250","$1,581,250",2014-12-11,Amended
3078,"Optoro, Inc.  (Other - Lanham, MD)",Yes,"$49,999,946","$49,999,946",2014-12-10,New Filing
3079,"Carlyle Asia Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$3,391,928,272","$1,506,698,272",2014-12-10,Amended
3080,"Gatosk Operating Company, LLC  (Retailing - Berwyn Heights, MD)",No,"$35,500",$0,2014-12-10,Amended
3081,"Gatosk Operating Company, LLC  (Retailing - Berwyn Heights, MD)",No,"$35,500",$0,2014-12-10,Amended
3082,"USF S&H Topco, LLC  (Other - Mclean, VA)",Yes,"$5,940,000","$5,940,000",2014-12-10,New Filing
3083,"Kaplan Benefits Group, LLC  (Other Banking and Financial Services - Bethesda, MD)",No,"$10,940",$0,2014-12-09,Amended
3084,"Full Genomes Corp  (Other Technology - Rockville, MD)",Yes,"$10,000","$10,000",2014-12-09,New Filing
3085,"FlyClique Inc.  (Other - Washington, DC)",No,"$45,000",$0,2014-12-09,Amended
3086,"Gatosk Operating Company, LLC  (Retailing - Berwyn Heights, MD)",Yes,"$39,000","$39,000",2014-12-09,New Filing
3087,"Pascal Metrics Inc.  (Other Health Care - Washington, DC)",Yes,"$1,031,331","$1,031,331",2014-12-08,New Filing
3088,"ThreatConnect, Inc.  (Other Technology - Arlington, VA)",Yes,"$2,000,000","$2,000,000",2014-12-08,New Filing
3089,"Ingraham Media Group, Inc.  (Other - Washington, DC)",Yes,"$2,850,000","$2,850,000",2014-12-05,New Filing
3090,"Carlyle Asia Structured Credit Opportunities Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2014-12-05,New Filing
3091,"Vox Media, Inc.  (Other Technology - Washington, DC)",Yes,"$45,184,664","$45,184,664",2014-12-05,New Filing
3092,"USF S&H Topco, LLC  (Other - Mclean, VA)",Yes,"$46,150,000","$46,150,000",2014-12-05,New Filing
3093,"Spark Community Investment Co  (Other Banking and Financial Services - Washington, DC)",Yes,"$2,138,980","$2,138,980",2014-12-04,New Filing
3094,"Fundrise Investments 12, LLC  (Commercial - Washington, DC)",Yes,Yet to Sell,$0,2014-12-04,New Filing
3095,"Potomac Dawn 8401 N Lois Trust Co  (Commercial - Washington, DC)",Yes,Yet to Sell,$0,2014-12-01,New Filing
3096,"VANSHAP CAPITAL VALUE FUND, LP  (Pooled Investment Fund - Arlington, VA)",No,"$33,227,000","$3,932,000",2014-12-01,Amended
3097,"Sachs Capital Fund II, LLC  (Investing - Potomac, MD)",Yes,"$3,000,000","$3,000,000",2014-11-26,New Filing
3098,"Brazen Technologies, Inc.  (Other - Arlington, VA)",Yes,"$871,778","$871,778",2014-11-25,New Filing
3099,"MicroVest Short Duration Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$99,584,034","$23,565,000",2014-11-25,Amended
